Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;608.0;5.05833;1047.0;8.71667
Leaning backward;27.0;1047.0;8.71667;1487.0;12.38333
Hopping around on one leg;12.0;1487.0;12.38333;2378.0;19.80833
Lifting the bag with two hands;23.0;2378.0;19.80833;2902.0;24.175
Balancing on the left leg ;3.0;2902.0;24.175;3274.0;27.275
Jumping on the right leg;15.0;3274.0;27.275;3730.0;31.075
Putting left hand on the ground;30.0;3730.0;31.075;4170.0;34.74167
Walking backwards;10.0;4170.0;34.74167;4817.0;40.13333
Sitting on the stool;20.0;4817.0;40.13333;5767.0;48.05
Standing upright without moving;2.0;5767.0;48.05;6084.0;50.69167
Jumping forward;18.0;6084.0;50.69167;6431.0;53.58333
Looking backward;29.0;6431.0;53.58333;7033.0;58.6
Side-stepping;13.0;7033.0;58.6;7695.0;64.11667
Pushing the bag;25.0;7695.0;64.11667;8074.0;67.275
Doing squats;5.0;8074.0;67.275;8850.0;73.74167
Jumping in place;14.0;8850.0;73.74167;9178.0;76.475
Putting right hand on the ground;31.0;9178.0;76.475;9658.0;80.475
Jogging;9.0;9658.0;80.475;10469.0;87.23333
Climbing the stairs;21.0;10469.0;87.23333;11074.0;92.275
Standing on tiptoes;6.0;11074.0;92.275;11668.0;97.225
Jumping to the side;17.0;11668.0;97.225;12072.0;100.59167
Leaning forward;26.0;12072.0;100.59167;12436.0;103.625
Walking;8.0;12436.0;103.625;13207.0;110.05
Lifting the bag with one hand;22.0;13207.0;110.05;13748.0;114.55833
Standing on heels;7.0;13748.0;114.55833;14593.0;121.6
Balancing on the right leg ;4.0;14593.0;121.6;14977.0;124.8
Leaning to the side;28.0;14977.0;124.8;15341.0;127.83333
Walking on tiptoes;11.0;15341.0;127.83333;16100.0;134.15833
Pulling the bag;24.0;16100.0;134.15833;16481.0;137.33333
Jumping on the left leg;16.0;16481.0;137.33333;17194.0;143.275
Jumping backward;19.0;17194.0;143.275;17541.0;146.16667
Standing in T-pose;1.0;17541.0;146.16667;17931.0;149.42052
