Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;507.0;4.21667;1063.0;8.85
Leaning to the side;28.0;1063.0;8.85;1470.0;12.24167
Jogging;9.0;1470.0;12.24167;2104.0;17.525
Lifting the bag with one hand;22.0;2104.0;17.525;2603.0;21.68333
Doing squats;5.0;2603.0;21.68333;3245.0;27.03333
Jumping in place;14.0;3245.0;27.03333;3537.0;29.46667
Putting left hand on the ground;30.0;3537.0;29.46667;4278.0;35.64167
Hopping around on one leg;12.0;4278.0;35.64167;4948.0;41.225
Lifting the bag with two hands;23.0;4948.0;41.225;5440.0;45.325
Standing upright without moving;2.0;5440.0;45.325;6039.0;50.31667
Jumping forward;18.0;6039.0;50.31667;6445.0;53.7
Leaning forward;26.0;6445.0;53.7;6994.0;58.275
Walking;8.0;6994.0;58.275;7657.0;63.8
Pulling the bag;24.0;7657.0;63.8;8320.0;69.325
Balancing on the right leg ;4.0;8320.0;69.325;8905.0;74.2
Balancing on the left leg ;3.0;8905.0;74.2;9333.0;77.76667
Looking backward;29.0;9333.0;77.76667;9782.0;81.50833
Side-stepping;13.0;9782.0;81.50833;10509.0;87.56667
Pushing the bag;25.0;10509.0;87.56667;10944.0;91.19167
Jumping on the left leg;16.0;10944.0;91.19167;11535.0;96.11667
Jumping on the right leg;15.0;11535.0;96.11667;11956.0;99.625
Leaning backward;27.0;11956.0;99.625;12462.0;103.84167
Walking backwards;10.0;12462.0;103.84167;13268.0;110.55833
Sitting on the stool;20.0;13268.0;110.55833;14010.0;116.74167
Standing on heels;7.0;14010.0;116.74167;14344.0;119.525
Jumping to the side;17.0;14344.0;119.525;14608.0;121.725
Putting right hand on the ground;31.0;14608.0;121.725;15335.0;127.78333
Walking on tiptoes;11.0;15335.0;127.78333;16134.0;134.44167
Climbing the stairs;21.0;16134.0;134.44167;16618.0;138.475
Standing on tiptoes;6.0;16618.0;138.475;17075.0;142.28333
Jumping backward;19.0;17075.0;142.28333;17324.0;144.35833
Standing in T-pose;1.0;17324.0;144.35833;17813.0;148.43325
