Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;4.25;3.75;2.0;3.0;1.0;1.25;0.25;1.0;0.5;1.75;1.25;1.5;1.0;1.0;0.5;1.0;-0.202637;0.028809;0.986328;-1.12;2.59;1.12;237.0;-0.11353;-0.086157;4.5;4.5;4.0;3.0;2.0;1.25;0.25;1.0;0.0;0.5;0.75;0.5;0.5;0.0;0.0;0.0;-0.229004;-0.007324;0.989746;-0.7;0.0;0.63;222.0;-0.235558;-0.069065
0.01;4.25;3.5;2.25;3.5;1.25;1.25;0.25;0.5;0.5;1.5;1.25;1.5;1.0;0.75;0.25;1.25;-0.198242;0.035156;0.993652;-1.26;2.52;1.12;232.0;-0.130273;-0.080778;4.5;4.5;4.0;3.0;2.0;1.25;0.25;1.0;0.0;0.5;0.75;0.5;0.5;0.0;0.0;0.0;-0.229004;-0.007324;0.989746;-0.7;0.0;0.63;222.0;-0.235558;-0.069065
0.02;4.25;3.5;2.25;3.5;1.25;1.25;0.25;0.25;0.5;1.5;1.5;1.0;1.0;0.75;0.0;1.0;-0.206055;0.033203;0.98877;-1.12;2.52;1.12;223.0;-0.1442;-0.070332;4.5;4.5;4.0;3.0;2.0;1.25;0.25;1.0;0.0;0.5;0.75;0.5;0.5;0.0;0.0;0.0;-0.229004;-0.007324;0.989746;-0.7;0.0;0.63;222.0;-0.235558;-0.069065
0.03;4.25;3.5;2.25;3.25;1.25;1.0;0.25;0.25;0.5;1.5;0.5;0.75;0.75;1.0;0.0;1.0;-0.20166;0.035156;0.983398;-1.26;2.45;1.19;206.0;-0.161471;-0.055095;4.5;4.5;3.75;3.0;2.0;1.0;0.25;0.75;0.0;0.5;1.0;0.75;0.5;0.0;0.0;0.0;-0.230469;-0.006836;0.987793;-0.7;-0.14;0.7;218.0;-0.229739;-0.066473
0.04;4.0;3.5;2.0;2.5;0.75;0.75;0.25;0.5;0.25;1.75;0.5;1.0;0.75;0.75;0.0;1.0;-0.20166;0.036133;0.98584;-1.19;2.45;1.12;189.0;-0.153129;-0.067941;4.5;4.5;3.5;2.5;1.25;1.0;0.25;0.75;0.25;0.5;0.25;0.25;0.5;0.0;0.0;0.0;-0.230469;-0.004883;0.990234;-0.7;-0.14;0.63;194.0;-0.252087;-0.056613
0.05;4.0;4.0;1.75;2.5;0.5;1.0;0.25;0.5;0.0;2.0;0.75;1.25;1.0;0.25;0.25;0.5;-0.205078;0.032715;0.985352;-1.26;2.59;1.05;193.0;-0.15776;-0.089645;4.5;4.25;3.5;2.5;1.25;1.0;0.25;1.0;0.5;0.25;0.25;0.0;0.5;0.0;0.0;0.0;-0.231934;-0.012695;0.984863;-0.63;-0.14;0.63;194.0;-0.249935;-0.054827
0.06;4.0;4.0;1.75;2.75;0.75;1.25;0.25;0.5;0.25;2.0;1.25;0.75;1.0;0.5;0.25;0.5;-0.202637;0.02832;0.986328;-1.26;2.45;1.05;205.0;-0.147093;-0.079601;4.5;4.25;3.75;2.25;1.75;1.0;0.25;0.75;0.25;0.25;0.5;0.0;0.25;0.0;0.0;0.0;-0.22998;-0.011719;0.98584;-0.63;-0.14;0.7;193.0;-0.256976;-0.043266
0.07;4.0;4.0;2.25;2.5;0.75;1.25;0.25;0.5;0.5;1.25;1.25;0.75;1.0;0.5;0.0;0.75;-0.203125;0.03418;0.986816;-1.19;2.52;1.05;203.0;-0.159501;-0.074785;4.0;4.5;3.75;2.0;1.75;1.0;0.5;0.75;0.0;0.25;0.5;0.0;0.5;0.0;0.0;0.0;-0.230957;-0.007812;0.988281;-0.63;-0.14;0.63;190.0;-0.252122;-0.050163
0.08;4.0;3.5;2.25;2.75;1.0;1.25;0.25;0.5;0.5;1.0;1.25;0.75;1.0;0.25;0.25;0.75;-0.200684;0.036621;0.991699;-1.05;2.66;1.12;202.0;-0.158769;-0.077219;4.0;4.5;3.25;2.75;1.75;1.0;0.25;0.75;0.25;0.25;0.75;0.25;0.25;0.0;0.0;0.0;-0.230957;-0.008301;0.988281;-0.56;-0.07;0.63;195.0;-0.244007;-0.060452
0.09;4.0;3.5;2.0;3.0;1.25;1.25;0.25;0.75;0.25;0.75;1.5;0.75;0.75;0.5;0.25;0.75;-0.204102;0.032227;0.989746;-1.19;2.45;1.19;205.0;-0.160075;-0.085811;4.0;4.5;3.5;2.75;1.25;1.0;0.25;1.0;0.25;0.25;0.5;0.0;0.25;0.0;0.0;0.0;-0.22998;-0.009766;0.987305;-0.63;-0.28;0.63;191.0;-0.254808;-0.064016
