Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;2.25;1.75;2.0;1.5;2.25;1.75;0.25;1.0;1.0;0.5;0.25;0.5;1.5;2.0;0.25;0.5;-0.180176;0.024902;0.992188;-0.56;0.49;0.49;221.0;-0.074655;-0.061982;1.5;2.5;2.0;2.25;2.25;3.0;0.25;1.75;1.0;0.75;1.25;1.5;2.5;1.25;0.75;0.75;-0.210938;0.030762;0.981445;-0.77;-0.91;0.56;292.0;-0.047871;-0.129867
0.01;2.25;1.75;2.0;1.5;2.25;1.75;0.25;1.0;1.0;0.5;0.25;0.5;1.5;2.0;0.25;0.5;-0.180176;0.024902;0.992188;-0.56;0.49;0.49;221.0;-0.074655;-0.061982;1.5;2.5;1.75;2.0;2.5;2.75;0.25;1.75;1.0;1.0;1.25;1.5;2.5;1.25;0.5;0.75;-0.220215;0.033691;0.987793;-0.84;-0.91;0.56;286.0;-0.044465;-0.126268
0.02;2.25;1.75;2.0;1.5;2.25;1.75;0.25;1.0;1.0;0.5;0.25;0.5;1.5;2.0;0.25;0.5;-0.180176;0.024902;0.992188;-0.56;0.49;0.49;221.0;-0.074655;-0.061982;1.5;2.5;1.75;2.0;2.5;2.75;0.25;1.75;1.0;1.0;1.25;1.5;2.5;1.25;0.5;1.0;-0.217773;0.038086;0.983887;-0.7;-0.91;0.56;288.0;-0.042382;-0.127231
0.03;2.25;1.75;2.25;1.5;2.25;1.25;0.25;1.0;1.0;0.25;0.25;0.5;1.5;2.0;0.25;0.5;-0.180664;0.025879;0.997559;-0.56;0.49;0.49;215.0;-0.079373;-0.055677;1.5;2.5;1.75;1.75;2.5;3.0;0.25;1.75;1.0;0.75;1.25;1.5;2.5;1.5;0.25;0.75;-0.220215;0.036133;0.985352;-0.7;-0.91;0.49;283.0;-0.046717;-0.126628
0.04;2.5;1.5;2.25;1.5;2.25;1.25;0.25;0.75;0.75;0.25;0.25;0.75;1.75;1.5;0.0;0.5;-0.186035;0.027832;0.998047;-0.7;0.63;0.56;206.0;-0.097897;-0.063899;1.25;2.75;2.0;1.75;2.25;3.0;0.25;1.75;0.75;0.75;1.25;1.5;2.5;1.25;0.25;1.0;-0.221191;0.039062;0.983887;-0.7;-0.84;0.56;278.0;-0.053564;-0.137734
0.05;2.5;1.75;2.0;1.5;2.25;1.25;0.25;0.75;0.75;0.25;0.5;0.75;1.75;1.75;0.25;0.5;-0.181641;0.029297;0.997559;-0.7;0.49;0.63;213.0;-0.082571;-0.065612;1.5;2.5;2.0;2.0;2.25;3.0;0.0;1.75;0.75;0.75;1.25;1.5;2.5;1.5;0.25;0.75;-0.220703;0.03418;0.984863;-0.77;-0.91;0.56;278.0;-0.056647;-0.137972
0.06;2.5;1.75;2.25;1.5;2.25;1.25;0.25;1.0;1.0;0.25;0.5;0.75;1.5;2.0;0.25;0.5;-0.178711;0.025879;0.997559;-0.7;0.56;0.49;224.0;-0.075864;-0.057455;1.25;2.25;2.0;2.0;2.5;3.0;0.0;1.75;1.0;1.0;1.25;1.5;2.75;1.5;0.25;0.5;-0.222656;0.032715;0.984863;-0.77;-0.77;0.56;283.0;-0.044063;-0.132613
0.07;2.25;1.5;2.0;1.5;2.25;1.25;0.25;0.75;1.0;0.25;0.25;0.5;1.75;2.0;0.25;0.5;-0.182129;0.030273;0.98877;-0.63;0.56;0.49;208.0;-0.071085;-0.054333;1.25;2.25;2.0;2.0;2.5;3.0;0.0;1.75;0.75;0.75;1.25;1.75;2.75;1.75;0.25;0.75;-0.215332;0.036133;0.985352;-0.77;-0.91;0.63;283.0;-0.042289;-0.13978
0.08;2.5;1.5;2.0;1.5;2.25;1.5;0.25;0.75;1.0;0.25;0.25;0.5;1.75;2.0;0.25;0.5;-0.183594;0.03125;0.995117;-0.63;0.56;0.56;214.0;-0.076606;-0.055214;1.25;2.5;2.0;1.75;2.25;3.0;0.0;1.75;0.75;0.75;1.25;1.5;2.75;1.75;0.25;0.75;-0.220215;0.036133;0.985352;-0.7;-0.91;0.49;277.0;-0.044748;-0.139659
0.09;2.25;1.75;2.25;1.5;2.25;1.5;0.25;0.75;1.0;0.25;0.25;0.25;1.75;1.75;0.25;0.5;-0.183105;0.026855;0.994629;-0.56;0.49;0.49;211.0;-0.088272;-0.055927;1.5;2.5;2.0;2.0;2.25;2.75;0.0;1.75;0.75;0.5;1.25;1.75;2.5;1.5;0.25;0.75;-0.221191;0.036621;0.983887;-0.77;-0.91;0.63;275.0;-0.055909;-0.140246
0.1;2.25;1.75;2.0;1.75;2.25;1.25;0.25;0.75;1.0;0.25;0.25;0.5;1.75;1.75;0.25;0.5;-0.182617;0.026367;0.996094;-0.56;0.56;0.49;211.0;-0.083594;-0.060636;1.5;2.25;2.0;2.25;2.5;2.75;0.0;1.75;0.75;0.5;1.25;1.75;2.75;1.75;0.25;0.75;-0.222656;0.035645;0.985352;-0.7;-0.84;0.56;283.0;-0.050171;-0.138844
0.11;2.5;1.5;2.0;1.5;2.25;1.25;0.25;0.75;1.0;0.25;0.25;0.5;1.75;1.75;0.0;0.5;-0.183105;0.026367;1.0;-0.56;0.49;0.63;206.0;-0.087782;-0.054318;1.25;2.5;1.75;2.25;2.5;3.0;0.0;1.75;0.75;0.5;1.25;1.75;2.75;1.75;0.25;0.75;-0.221191;0.03418;0.98584;-0.7;-0.91;0.56;283.0;-0.048656;-0.145433
0.12;2.5;1.75;2.0;1.5;2.25;1.25;0.25;0.75;1.0;0.25;0.25;0.5;1.5;2.0;0.25;0.5;-0.186035;0.032227;0.998047;-0.49;0.35;0.56;211.0;-0.082346;-0.048937;1.25;2.5;2.0;2.25;2.25;3.0;0.0;1.75;0.75;0.75;1.25;1.75;2.75;1.75;0.25;0.5;-0.224609;0.035645;0.992188;-0.7;-0.84;0.56;284.0;-0.049414;-0.14213
0.13;2.5;1.75;2.0;1.5;2.25;1.5;0.25;0.75;0.75;0.25;0.25;0.5;1.5;2.0;0.25;0.5;-0.181152;0.026855;1.001465;-0.63;0.63;0.49;210.0;-0.089089;-0.057595;1.25;2.0;2.0;2.0;2.25;3.0;0.0;1.75;0.75;0.75;1.5;1.75;2.75;1.75;0.25;1.0;-0.223145;0.039062;0.987793;-0.77;-0.77;0.63;282.0;-0.033231;-0.142352
0.14;2.5;1.75;2.0;1.75;2.25;1.5;0.25;0.75;1.0;0.5;0.25;0.75;1.75;2.0;0.25;0.5;-0.178223;0.02832;0.99707;-0.49;0.56;0.42;225.0;-0.075571;-0.060289;1.25;2.25;1.5;1.75;2.25;2.75;0.0;1.75;0.75;0.5;1.5;2.0;2.75;1.75;0.25;0.75;-0.216797;0.03418;0.98584;-0.77;-0.98;0.56;271.0;-0.029902;-0.148294
