Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;496.0;4.125;1024.0;8.525
Leaning to the side;28.0;1024.0;8.525;1476.0;12.29167
Hopping around on one leg;12.0;1476.0;12.29167;2027.0;16.88333
Lifting the bag with one hand;22.0;2027.0;16.88333;2877.0;23.96667
Standing on tiptoes;6.0;2877.0;23.96667;3243.0;27.01667
Jumping to the side;17.0;3243.0;27.01667;3522.0;29.34167
Putting right hand on the ground;31.0;3522.0;29.34167;4233.0;35.26667
Jogging;9.0;4233.0;35.26667;4690.0;39.075
Pulling the bag;24.0;4690.0;39.075;5306.0;44.20833
Standing on heels;7.0;5306.0;44.20833;6009.0;50.06667
Jumping forward;18.0;6009.0;50.06667;6365.0;53.03333
Looking backward;29.0;6365.0;53.03333;6875.0;57.28333
Side-stepping;13.0;6875.0;57.28333;7563.0;63.01667
Climbing the stairs;21.0;7563.0;63.01667;8077.0;67.3
Standing upright without moving;2.0;8077.0;67.3;8568.0;71.39167
Jumping backward;19.0;8568.0;71.39167;9216.0;76.79167
Putting left hand on the ground;30.0;9216.0;76.79167;9807.0;81.71667
Walking;8.0;9807.0;81.71667;10316.0;85.95833
Lifting the bag with two hands;23.0;10316.0;85.95833;11184.0;93.19167
Hopping around on one leg;12.0;11184.0;93.19167;12001.0;100.0
Leaning forward;26.0;12001.0;100.0;12609.0;105.06667
Walking backwards;10.0;12609.0;105.06667;13260.0;110.49167
Sitting on the stool;20.0;13260.0;110.49167;13965.0;116.36667
Balancing on the right leg ;4.0;13965.0;116.36667;14423.0;120.18333
Balancing on the left leg ;3.0;14423.0;120.18333;14808.0;123.39167
Leaning backward;27.0;14808.0;123.39167;15358.0;127.975
Walking on tiptoes;11.0;15358.0;127.975;16052.0;133.75833
Pushing the bag;25.0;16052.0;133.75833;16508.0;137.55833
Doing squats;5.0;16508.0;137.55833;17058.0;142.14167
Jumping in place;14.0;17058.0;142.14167;17377.0;144.8
Standing in T-pose;1.0;17377.0;144.8;17768.0;148.05473
