Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;474.0;3.94167;911.0;7.58333
Doing squats;5.0;911.0;7.58333;1277.0;10.63333
Side-stepping;13.0;1277.0;10.63333;2100.0;17.49167
Lifting the bag with one hand;22.0;2100.0;17.49167;2827.0;23.55
Standing on heels;7.0;2827.0;23.55;3154.0;26.275
Jumping backward;19.0;3154.0;26.275;3491.0;29.08333
Putting left hand on the ground;30.0;3491.0;29.08333;4100.0;34.15833
Walking backwards;10.0;4100.0;34.15833;4773.0;39.76667
Pulling the bag;24.0;4773.0;39.76667;5420.0;45.15833
Balancing on the left leg ;3.0;5420.0;45.15833;6057.0;50.46667
Jumping to the side;17.0;6057.0;50.46667;6391.0;53.25
Looking backward;29.0;6391.0;53.25;6867.0;57.21667
Jogging;9.0;6867.0;57.21667;7605.0;63.36667
Sitting on the stool;20.0;7605.0;63.36667;8369.0;69.73333
Standing on tiptoes;6.0;8369.0;69.73333;8755.0;72.95
Jumping forward;18.0;8755.0;72.95;9159.0;76.31667
Leaning to the side;28.0;9159.0;76.31667;9563.0;79.68333
Walking on tiptoes;11.0;9563.0;79.68333;10253.0;85.43333
Lifting the bag with two hands;23.0;10253.0;85.43333;11104.0;92.525
Standing upright without moving;2.0;11104.0;92.525;11460.0;95.49167
Jumping in place;14.0;11460.0;95.49167;11714.0;97.60833
Leaning forward;26.0;11714.0;97.60833;12373.0;103.1
Walking;8.0;12373.0;103.1;13049.0;108.73333
Climbing the stairs;21.0;13049.0;108.73333;13523.0;112.68333
Balancing on the right leg ;4.0;13523.0;112.68333;14226.0;118.54167
Jumping on the right leg;15.0;14226.0;118.54167;14660.0;122.15833
Leaning backward;27.0;14660.0;122.15833;15088.0;125.725
Hopping around on one leg;12.0;15088.0;125.725;15927.0;132.71667
Pushing the bag;25.0;15927.0;132.71667;16281.0;135.66667
Jumping on the left leg;16.0;16281.0;135.66667;16983.0;141.51667
Putting right hand on the ground;31.0;16983.0;141.51667;17511.0;145.91667
Standing in T-pose;1.0;17511.0;145.91667;17772.0;148.08763
