Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;440.0;3.65833;973.0;8.1
Leaning to the side;28.0;973.0;8.1;1542.0;12.84167
Hopping around on one leg;12.0;1542.0;12.84167;2063.0;17.18333
Lifting the bag with one hand;22.0;2063.0;17.18333;2541.0;21.16667
Balancing on the right leg ;4.0;2541.0;21.16667;3243.0;27.01667
Jumping backward;19.0;3243.0;27.01667;3622.0;30.175
Leaning forward;26.0;3622.0;30.175;4038.0;33.64167
Walking;8.0;4038.0;33.64167;4845.0;40.36667
Pushing the bag;25.0;4845.0;40.36667;5207.0;43.38333
Standing on tiptoes;6.0;5207.0;43.38333;5977.0;49.8
Jumping in place;14.0;5977.0;49.8;6300.0;52.49167
Putting right hand on the ground;31.0;6300.0;52.49167;6829.0;56.9
Side-stepping;13.0;6829.0;56.9;7450.0;62.075
Sitting on the stool;20.0;7450.0;62.075;8335.0;69.45
Standing upright without moving;2.0;8335.0;69.45;8768.0;73.05833
Jumping to the side;17.0;8768.0;73.05833;9106.0;75.875
Putting left hand on the ground;30.0;9106.0;75.875;9541.0;79.5
Walking on tiptoes;11.0;9541.0;79.5;10307.0;85.88333
Lifting the bag with two hands;23.0;10307.0;85.88333;10909.0;90.9
Standing on heels;7.0;10909.0;90.9;11462.0;95.50833
Jumping forward;18.0;11462.0;95.50833;11805.0;98.36667
Looking backward;29.0;11805.0;98.36667;12371.0;103.08333
Jogging;9.0;12371.0;103.08333;12997.0;108.3
Climbing the stairs;21.0;12997.0;108.3;13516.0;112.625
Jumping on the left leg;16.0;13516.0;112.625;14125.0;117.7
Jumping on the right leg;15.0;14125.0;117.7;14562.0;121.34167
Leaning backward;27.0;14562.0;121.34167;15187.0;126.55
Walking backwards;10.0;15187.0;126.55;15749.0;131.23333
Pulling the bag;24.0;15749.0;131.23333;16226.0;135.20833
Doing squats;5.0;16226.0;135.20833;16961.0;141.33333
Balancing on the left leg ;3.0;16961.0;141.33333;17508.0;145.89167
Standing in T-pose;1.0;17508.0;145.89167;17839.0;148.64774
