Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;440.0;3.65833;862.0;7.175
Standing on tiptoes;6.0;862.0;7.175;1446.0;12.04167
Side-stepping;13.0;1446.0;12.04167;1976.0;16.45833
Lifting the bag with one hand;22.0;1976.0;16.45833;2490.0;20.74167
Standing on heels;7.0;2490.0;20.74167;3122.0;26.00833
Jumping backward;19.0;3122.0;26.00833;3560.0;29.65833
Putting right hand on the ground;31.0;3560.0;29.65833;4102.0;34.175
Jogging;9.0;4102.0;34.175;4729.0;39.4
Pushing the bag;25.0;4729.0;39.4;5275.0;43.95
Balancing on the right leg ;4.0;5275.0;43.95;5989.0;49.9
Jumping on the left leg;16.0;5989.0;49.9;6342.0;52.84167
Leaning forward;26.0;6342.0;52.84167;6748.0;56.225
Walking backwards;10.0;6748.0;56.225;7669.0;63.9
Pulling the bag;24.0;7669.0;63.9;8154.0;67.94167
Balancing on the left leg ;3.0;8154.0;67.94167;8712.0;72.59167
Jumping forward;18.0;8712.0;72.59167;9122.0;76.00833
Putting left hand on the ground;30.0;9122.0;76.00833;9684.0;80.69167
Walking on tiptoes;11.0;9684.0;80.69167;10348.0;86.225
Lifting the bag with two hands;23.0;10348.0;86.225;10875.0;90.61667
Doing squats;5.0;10875.0;90.61667;11408.0;95.05833
Jumping to the side;17.0;11408.0;95.05833;11950.0;99.575
Leaning backward;27.0;11950.0;99.575;12400.0;103.325
Hopping around on one leg;12.0;12400.0;103.325;13015.0;108.45
Climbing the stairs;21.0;13015.0;108.45;13388.0;111.55833
Standing upright without moving;2.0;13388.0;111.55833;14035.0;116.95
Jumping in place;14.0;14035.0;116.95;14594.0;121.60833
Leaning to the side;28.0;14594.0;121.60833;15201.0;126.66667
Walking;8.0;15201.0;126.66667;15946.0;132.875
Sitting on the stool;20.0;15946.0;132.875;16573.0;138.1
Jumping on the right leg;15.0;16573.0;138.1;16901.0;140.83333
Looking backward;29.0;16901.0;140.83333;17464.0;145.525
Standing in T-pose;1.0;17464.0;145.525;17766.0;148.04051
