Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;342.0;2.84167;867.0;7.21667
Leaning forward;26.0;867.0;7.21667;1453.0;12.1
Walking;8.0;1453.0;12.1;2194.0;18.275
Lifting the bag with two hands;23.0;2194.0;18.275;2572.0;21.425
Balancing on the right leg ;4.0;2572.0;21.425;3265.0;27.2
Jumping to the side;17.0;3265.0;27.2;3630.0;30.24167
Looking backward;29.0;3630.0;30.24167;4277.0;35.63333
Walking on tiptoes;11.0;4277.0;35.63333;4951.0;41.25
Pushing the bag;25.0;4951.0;41.25;5384.0;44.85833
Jumping on the left leg;16.0;5384.0;44.85833;5957.0;49.63333
Jumping forward;18.0;5957.0;49.63333;6319.0;52.65
Leaning to the side;28.0;6319.0;52.65;6926.0;57.70833
Hopping around on one leg;12.0;6926.0;57.70833;7590.0;63.24167
Lifting the bag with one hand;22.0;7590.0;63.24167;8090.0;67.40833
Standing upright without moving;2.0;8090.0;67.40833;8698.0;72.475
Balancing on the left leg ;3.0;8698.0;72.475;9270.0;77.24167
Putting right hand on the ground;31.0;9270.0;77.24167;9744.0;81.19167
Jogging;9.0;9744.0;81.19167;10372.0;86.425
Sitting on the stool;20.0;10372.0;86.425;11102.0;92.50833
Standing on heels;7.0;11102.0;92.50833;11505.0;95.86667
Jumping backward;19.0;11505.0;95.86667;11831.0;98.58333
Putting left hand on the ground;30.0;11831.0;98.58333;12500.0;104.15833
Walking backwards;10.0;12500.0;104.15833;13314.0;110.94167
Pulling the bag;24.0;13314.0;110.94167;13779.0;114.81667
Doing squats;5.0;13779.0;114.81667;14205.0;118.36667
Jumping on the right leg;15.0;14205.0;118.36667;14738.0;122.80833
Leaning backward;27.0;14738.0;122.80833;15153.0;126.26667
Hopping around on one leg;12.0;15153.0;126.26667;15842.0;132.00833
Climbing the stairs;21.0;15842.0;132.00833;16271.0;135.58333
Standing on tiptoes;6.0;16271.0;135.58333;16992.0;141.59167
Jumping in place;14.0;16992.0;141.59167;17442.0;145.34167
Standing in T-pose;1.0;17442.0;145.34167;17858.0;148.8105
