Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;424.0;3.525;950.0;7.90833
Putting left hand on the ground;30.0;950.0;7.90833;1444.0;12.025
Jogging;9.0;1444.0;12.025;1958.0;16.30833
Pulling the bag;24.0;1958.0;16.30833;2302.0;19.175
Standing upright without moving;2.0;2302.0;19.175;3193.0;26.6
Jumping on the right leg;15.0;3193.0;26.6;3593.0;29.93333
Leaning to the side;28.0;3593.0;29.93333;3994.0;33.275
Side-stepping;13.0;3994.0;33.275;4711.0;39.25
Lifting the bag with one hand;22.0;4711.0;39.25;5148.0;42.89167
Standing on tiptoes;6.0;5148.0;42.89167;6007.0;50.05
Jumping forward;18.0;6007.0;50.05;6341.0;52.83333
Leaning forward;26.0;6341.0;52.83333;6899.0;57.48333
Walking backwards;10.0;6899.0;57.48333;7559.0;62.98333
Pushing the bag;25.0;7559.0;62.98333;7856.0;65.45833
Standing on heels;7.0;7856.0;65.45833;8579.0;71.48333
Jumping in place;14.0;8579.0;71.48333;9012.0;75.09167
Putting right hand on the ground;31.0;9012.0;75.09167;9747.0;81.21667
Walking on tiptoes;11.0;9747.0;81.21667;10236.0;85.29167
Sitting on the stool;20.0;10236.0;85.29167;11086.0;92.375
Doing squats;5.0;11086.0;92.375;11437.0;95.3
Jumping backward;19.0;11437.0;95.3;11797.0;98.3
Looking backward;29.0;11797.0;98.3;12221.0;101.83333
Walking;8.0;12221.0;101.83333;13059.0;108.81667
Lifting the bag with two hands;23.0;13059.0;108.81667;13455.0;112.11667
Balancing on the left leg ;3.0;13455.0;112.11667;14195.0;118.28333
Jumping on the left leg;16.0;14195.0;118.28333;14713.0;122.6
Leaning backward;27.0;14713.0;122.6;15061.0;125.5
Hopping around on one leg;12.0;15061.0;125.5;15765.0;131.36667
Climbing the stairs;21.0;15765.0;131.36667;16138.0;134.475
Balancing on the right leg ;4.0;16138.0;134.475;17008.0;141.725
Jumping to the side;17.0;17008.0;141.725;17336.0;144.45833
Standing in T-pose;1.0;17336.0;144.45833;17724.0;147.68752
