Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;8.25;5.0;6.25;3.25;0.25;0.0;0.25;0.0;1.75;0.5;1.0;0.5;0.0;1.5;0.75;0.25;-0.233887;0.027344;0.986816;-1.47;0.56;0.49;338.0;-0.203496;0.019295;4.0;7.0;4.25;5.25;0.75;1.0;0.0;0.5;1.0;1.0;1.5;0.75;0.5;1.75;0.75;0.25;-0.25;0.031738;0.982422;-0.42;-1.19;1.05;342.0;-0.17215;-0.066113
0.01;8.25;4.75;6.25;3.0;0.25;0.0;0.25;0.0;1.75;0.5;1.0;0.5;0.0;1.5;0.75;0.25;-0.233887;0.029297;0.979004;-1.4;0.56;0.42;332.0;-0.201122;0.022902;4.25;6.75;4.0;4.75;0.75;1.25;0.25;0.5;1.0;1.0;1.5;0.75;0.5;1.75;0.5;0.5;-0.245117;0.027344;0.973633;-0.35;-1.12;0.98;339.0;-0.168717;-0.061512
0.02;8.25;4.75;6.0;3.0;0.25;0.0;0.25;0.0;1.75;0.25;0.75;0.5;0.0;1.5;0.75;0.25;-0.234863;0.018555;0.987793;-1.47;0.56;0.49;324.0;-0.208165;0.023143;4.25;7.0;4.0;5.25;0.75;1.25;0.25;0.5;0.75;0.5;1.25;0.75;0.5;1.75;0.5;0.25;-0.250977;0.025879;0.98291;-0.35;-1.12;0.98;334.0;-0.189948;-0.069377
0.03;8.25;5.0;6.0;3.25;0.25;0.0;0.25;0.0;1.75;0.0;0.75;0.5;0.0;1.25;0.75;0.25;-0.232422;0.030273;0.986816;-1.47;0.63;0.49;324.0;-0.218902;0.017912;4.25;7.25;4.0;5.25;0.75;1.25;0.25;0.5;0.5;0.5;0.5;0.75;0.5;1.5;0.5;0.25;-0.253906;0.029297;0.976074;-0.49;-1.12;0.98;322.0;-0.212086;-0.074488
0.04;8.25;5.25;6.25;3.25;0.25;0.0;0.25;0.0;2.0;0.0;0.75;0.5;0.0;1.5;0.75;0.25;-0.228516;0.026367;0.987793;-1.54;0.56;0.42;336.0;-0.211376;0.021017;4.25;7.25;4.25;5.25;0.75;1.0;0.0;0.5;0.5;0.75;1.0;0.75;0.5;1.5;0.25;0.5;-0.24707;0.027832;0.97168;-0.49;-1.26;0.98;325.0;-0.208035;-0.075692
0.05;8.5;5.25;6.5;3.25;0.25;0.0;0.25;0.0;2.0;0.0;0.75;0.5;0.0;1.25;0.5;0.25;-0.224121;0.023438;0.983398;-1.68;0.49;0.49;336.0;-0.223067;0.022172;4.25;7.5;4.25;5.25;0.75;1.0;0.0;0.5;0.75;0.5;1.0;0.75;0.5;1.5;0.5;0.25;-0.25;0.03125;0.972656;-0.49;-1.19;0.98;330.0;-0.205662;-0.072781
0.06;8.5;5.25;6.25;3.5;0.25;0.0;0.25;0.0;1.75;0.25;1.0;0.25;0.0;1.5;0.75;0.25;-0.232422;0.027832;0.986816;-1.68;0.56;0.42;341.0;-0.214666;0.018813;4.25;7.5;4.25;5.25;0.75;1.0;0.0;0.5;0.75;0.5;1.5;1.0;0.5;1.5;0.5;0.25;-0.252441;0.027832;0.97998;-0.63;-1.12;0.91;339.0;-0.194845;-0.075405
0.07;8.25;5.25;6.25;3.25;0.25;0.0;0.25;0.0;1.75;0.25;0.75;0.25;0.0;1.5;0.5;0.25;-0.228516;0.021484;0.984375;-1.75;0.56;0.42;329.0;-0.221631;0.022309;4.25;7.5;4.25;5.25;0.75;1.0;0.0;0.5;0.5;0.5;1.25;0.5;0.5;1.5;0.0;0.25;-0.246094;0.029785;0.974609;-0.56;-1.12;1.05;321.0;-0.221653;-0.074866
0.08;8.5;5.0;6.25;3.0;0.0;0.0;0.25;0.0;1.75;0.25;0.75;0.25;0.0;1.5;0.5;0.25;-0.230469;0.023926;0.984375;-1.68;0.63;0.56;323.0;-0.221983;0.026465;4.25;7.75;4.25;5.25;0.75;1.0;0.0;0.5;0.75;0.75;1.0;0.5;0.25;1.25;0.0;0.25;-0.25;0.025879;0.975098;-0.63;-1.05;0.84;322.0;-0.225197;-0.069107
0.09;8.5;5.25;6.25;3.0;0.0;0.0;0.25;0.0;2.0;0.25;0.5;0.0;0.0;1.5;0.5;0.0;-0.225098;0.023926;0.989258;-1.82;0.56;0.49;322.0;-0.228704;0.033421;4.5;8.0;4.25;5.25;0.75;1.25;0.0;0.5;0.75;0.5;1.0;0.5;0.25;1.25;0.0;0.0;-0.254883;0.029297;0.975098;-0.63;-1.05;0.91;326.0;-0.234275;-0.070221
