Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;483.0;4.01667;940.0;7.825
Leaning backward;27.0;940.0;7.825;1455.0;12.11667
Jogging;9.0;1455.0;12.11667;2008.0;16.725
Sitting on the stool;20.0;2008.0;16.725;2913.0;24.26667
Standing upright without moving;2.0;2913.0;24.26667;3266.0;27.20833
Balancing on the left leg ;3.0;3266.0;27.20833;3764.0;31.35833
Leaning to the side;28.0;3764.0;31.35833;4230.0;35.24167
Walking backwards;10.0;4230.0;35.24167;4840.0;40.325
Pushing the bag;25.0;4840.0;40.325;5469.0;45.56667
Doing squats;5.0;5469.0;45.56667;5935.0;49.45
Jumping in place;14.0;5935.0;49.45;6510.0;54.24167
Putting left hand on the ground;30.0;6510.0;54.24167;7051.0;58.75
Side-stepping;13.0;7051.0;58.75;7574.0;63.10833
Pulling the bag;24.0;7574.0;63.10833;8201.0;68.33333
Standing on tiptoes;6.0;8201.0;68.33333;8743.0;72.85
Jumping forward;18.0;8743.0;72.85;9079.0;75.65
Leaning forward;26.0;9079.0;75.65;9732.0;81.09167
Walking on tiptoes;11.0;9732.0;81.09167;10405.0;86.7
Lifting the bag with two hands;23.0;10405.0;86.7;11146.0;92.875
Jumping on the left leg;16.0;11146.0;92.875;11553.0;96.26667
Jumping backward;19.0;11553.0;96.26667;11885.0;99.03333
Looking backward;29.0;11885.0;99.03333;12510.0;104.24167
Walking;8.0;12510.0;104.24167;13166.0;109.70833
Climbing the stairs;21.0;13166.0;109.70833;13620.0;113.49167
Standing on heels;7.0;13620.0;113.49167;14209.0;118.4
Jumping on the right leg;15.0;14209.0;118.4;14801.0;123.33333
Putting right hand on the ground;31.0;14801.0;123.33333;15283.0;127.35
Hopping around on one leg;12.0;15283.0;127.35;15881.0;132.33333
Lifting the bag with one hand;22.0;15881.0;132.33333;16707.0;139.21667
Balancing on the right leg ;4.0;16707.0;139.21667;17078.0;142.30833
Jumping to the side;17.0;17078.0;142.30833;17417.0;145.13333
Standing in T-pose;1.0;17417.0;145.13333;17770.0;148.07335
