Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;22.0;0.175;557.0;4.63333
Jumping to the side;17.0;557.0;4.63333;940.0;7.825
Walking;8.0;940.0;7.825;1747.0;14.55
Pulling the bag;24.0;1747.0;14.55;2185.0;18.2
Doing squats;5.0;2185.0;18.2;2609.0;21.73333
Jumping on the right leg;15.0;2609.0;21.73333;3277.0;27.3
Putting left hand on the ground;30.0;3277.0;27.3;3834.0;31.94167
Walking backwards;10.0;3834.0;31.94167;4502.0;37.50833
Climbing the stairs;21.0;4502.0;37.50833;4995.0;41.61667
Jumping on the left leg;16.0;4995.0;41.61667;5503.0;45.85
Jumping forward;18.0;5503.0;45.85;5948.0;49.55833
Putting right hand on the ground;31.0;5948.0;49.55833;6665.0;55.53333
Walking on tiptoes;11.0;6665.0;55.53333;7284.0;60.69167
Sitting on the stool;20.0;7284.0;60.69167;7882.0;65.675
Balancing on the right leg ;4.0;7882.0;65.675;8411.0;70.08333
Balancing on the left leg ;3.0;8411.0;70.08333;8821.0;73.5
Leaning forward;26.0;8821.0;73.5;9357.0;77.96667
Jogging;9.0;9357.0;77.96667;9969.0;83.06667
Lifting the bag with one hand;22.0;9969.0;83.06667;10470.0;87.24167
Standing on tiptoes;6.0;10470.0;87.24167;11075.0;92.28333
Jumping in place;14.0;11075.0;92.28333;11576.0;96.45833
Looking backward;29.0;11576.0;96.45833;12125.0;101.03333
Side-stepping;13.0;12125.0;101.03333;12758.0;106.30833
Lifting the bag with two hands;23.0;12758.0;106.30833;13301.0;110.83333
Standing on heels;7.0;13301.0;110.83333;13857.0;115.46667
Jumping backward;19.0;13857.0;115.46667;14289.0;119.06667
Leaning backward;27.0;14289.0;119.06667;14699.0;122.48333
Hopping around on one leg;12.0;14699.0;122.48333;15562.0;129.675
Pushing the bag;25.0;15562.0;129.675;16007.0;133.38333
Standing upright without moving;2.0;16007.0;133.38333;16674.0;138.94167
Leaning to the side;28.0;16674.0;138.94167;17078.0;142.30833
Standing in T-pose;1.0;17078.0;142.30833;17381.0;144.83043
