Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;604.0;5.025;1121.0;9.33333
Standing upright without moving;2.0;1121.0;9.33333;1516.0;12.625
Walking;8.0;1516.0;12.625;2187.0;18.21667
Sitting on the stool;20.0;2187.0;18.21667;2724.0;22.69167
Doing squats;5.0;2724.0;22.69167;3304.0;27.525
Jumping forward;18.0;3304.0;27.525;3619.0;30.15
Leaning to the side;28.0;3619.0;30.15;4193.0;34.93333
Hopping around on one leg;12.0;4193.0;34.93333;4879.0;40.65
Pulling the bag;24.0;4879.0;40.65;5545.0;46.2
Balancing on the right leg ;4.0;5545.0;46.2;6106.0;50.875
Jumping in place;14.0;6106.0;50.875;6498.0;54.14167
Leaning backward;27.0;6498.0;54.14167;6930.0;57.74167
Walking backwards;10.0;6930.0;57.74167;7599.0;63.31667
Lifting the bag with two hands;23.0;7599.0;63.31667;8314.0;69.275
Standing on heels;7.0;8314.0;69.275;9013.0;75.1
Balancing on the left leg ;3.0;9013.0;75.1;9388.0;78.225
Looking backward;29.0;9388.0;78.225;9876.0;82.29167
Jogging;9.0;9876.0;82.29167;10468.0;87.225
Climbing the stairs;21.0;10468.0;87.225;10925.0;91.03333
Jumping on the left leg;16.0;10925.0;91.03333;11533.0;96.1
Jumping to the side;17.0;11533.0;96.1;12037.0;100.3
Leaning forward;26.0;12037.0;100.3;12372.0;103.09167
Side-stepping;13.0;12372.0;103.09167;13038.0;108.64167
Lifting the bag with one hand;22.0;13038.0;108.64167;13829.0;115.23333
Standing on tiptoes;6.0;13829.0;115.23333;14197.0;118.3
Jumping backward;19.0;14197.0;118.3;14717.0;122.63333
Putting left hand on the ground;30.0;14717.0;122.63333;15158.0;126.30833
Walking on tiptoes;11.0;15158.0;126.30833;16038.0;133.64167
Pushing the bag;25.0;16038.0;133.64167;16498.0;137.475
Jumping on the right leg;15.0;16498.0;137.475;17027.0;141.88333
Putting right hand on the ground;31.0;17027.0;141.88333;17455.0;145.45
Standing in T-pose;1.0;17455.0;145.45;17820.0;148.49167
