Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;7.5;8.25;8.0;9.25;2.0;3.25;0.0;1.25;0.75;2.75;3.25;3.0;2.0;1.0;0.75;1.5;-0.209961;0.032227;0.976074;-2.94;2.31;-0.42;567.0;-0.15517;-0.093964;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.01;7.5;8.25;7.75;9.25;2.0;3.25;0.0;1.25;0.75;2.25;3.25;3.0;2.0;0.75;0.75;1.5;-0.208008;0.03125;0.980469;-2.8;2.24;-0.42;557.0;-0.160484;-0.097396;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.02;7.25;8.0;7.5;9.0;2.0;2.75;0.0;1.25;0.75;2.5;3.25;3.0;2.0;0.75;0.5;1.5;-0.20459;0.032715;0.978027;-2.94;2.31;-0.49;541.0;-0.157963;-0.09594;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.03;6.75;8.0;7.5;8.75;2.0;3.0;0.0;1.25;0.75;2.75;3.25;2.75;2.0;0.5;0.5;1.5;-0.211914;0.030762;0.97998;-2.66;2.38;-0.42;533.0;-0.157035;-0.097493;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.04;6.75;7.75;7.5;8.75;2.0;3.0;0.0;1.25;1.0;2.75;3.25;2.5;2.0;0.5;0.5;1.5;-0.211426;0.026367;0.979004;-2.45;2.31;-0.42;532.0;-0.155181;-0.093925;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.05;6.75;7.75;7.5;8.75;2.0;2.75;0.0;1.0;0.75;2.75;3.25;2.5;2.0;0.5;0.5;1.5;-0.203125;0.030273;0.980957;-2.31;2.45;-0.42;522.0;-0.158817;-0.093129;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.06;6.75;7.75;7.5;8.25;2.0;2.75;0.0;1.0;1.0;2.5;3.25;3.0;2.0;0.25;0.5;1.5;-0.203613;0.03418;0.976562;-2.17;2.52;-0.49;520.0;-0.155457;-0.093373;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.07;6.75;7.5;7.25;8.5;2.0;2.75;0.0;1.0;1.0;2.5;3.25;3.0;2.0;0.25;0.5;1.5;-0.206055;0.028809;0.97998;-2.1;2.52;-0.49;518.0;-0.154402;-0.09473;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.08;6.5;7.5;7.0;8.25;2.0;3.0;0.0;1.0;1.0;2.75;3.25;3.0;2.0;0.5;0.75;1.5;-0.20459;0.032227;0.975586;-1.96;2.45;-0.42;520.0;-0.144714;-0.095005;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
0.09;6.5;7.25;7.25;8.0;2.0;2.5;0.0;1.0;1.0;2.75;3.0;2.75;2.0;0.25;0.75;1.5;-0.203125;0.030762;0.976074;-1.82;2.24;-0.42;505.0;-0.149402;-0.091033;4.25;4.0;4.25;3.75;1.5;1.0;0.0;0.5;0.0;1.0;2.0;2.25;1.25;2.5;0.5;1.0;-0.242676;0.024414;0.989258;0.42;-1.89;0.42;302.0;-0.113894;-0.077494
