Time;left pressure 1[N/cm²];left pressure 2[N/cm²];left pressure 3[N/cm²];left pressure 4[N/cm²];left pressure 5[N/cm²];left pressure 6[N/cm²];left pressure 7[N/cm²];left pressure 8[N/cm²];left pressure 9[N/cm²];left pressure 10[N/cm²];left pressure 11[N/cm²];left pressure 12[N/cm²];left pressure 13[N/cm²];left pressure 14[N/cm²];left pressure 15[N/cm²];left pressure 16[N/cm²];left acceleration X[g];left acceleration Y[g];left acceleration Z[g];left angular X[dps];left angular Y[dps];left angular Z[dps];left total force[N];left center of pressure X[-0.5...+0.5];left center of pressure Y[-0.5...+0.5];right pressure 1[N/cm²];right pressure 2[N/cm²];right pressure 3[N/cm²];right pressure 4[N/cm²];right pressure 5[N/cm²];right pressure 6[N/cm²];right pressure 7[N/cm²];right pressure 8[N/cm²];right pressure 9[N/cm²];right pressure 10[N/cm²];right pressure 11[N/cm²];right pressure 12[N/cm²];right pressure 13[N/cm²];right pressure 14[N/cm²];right pressure 15[N/cm²];right pressure 16[N/cm²];right acceleration X[g];right acceleration Y[g];right acceleration Z[g];right angular X[dps];right angular Y[dps];right angular Z[dps];right total force[N];right center of pressure X[-0.5...+0.5];right center of pressure Y[-0.5...+0.5]
0.0;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;1.25;3.25;1.5;2.75;1.0;1.5;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.186035;0.144043;1.060059;3.71;-23.66;12.95;132.0;-0.287224;-0.116893
0.01;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;1.0;3.25;1.25;1.75;0.75;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.27002;0.272949;1.084473;-1.19;-27.440001;19.460001;98.0;-0.313374;-0.096228
0.02;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;0.25;3.0;1.25;1.25;0.75;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.362793;0.537598;1.114258;-14.21;-31.15;32.759998;81.0;-0.302668;-0.105986
0.03;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;0.0;2.0;1.0;0.75;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.410156;0.729492;1.03418;-24.780001;-33.110001;56.700001;47.0;0.0;0.0
0.04;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;0.0;1.25;0.75;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.484375;0.939453;1.029785;-32.48;-32.900002;87.709999;28.0;0.0;0.0
0.05;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;0.0;0.5;0.25;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.623047;0.984375;0.928223;-43.049999;-30.73;120.470001;14.0;0.0;0.0
0.06;2.25;1.75;3.0;3.5;5.5;5.75;1.25;4.0;3.25;1.75;1.25;1.5;2.0;6.25;0.75;1.25;-0.17041;0.028809;1.007812;1.47;1.4;0.63;534.0;-0.000731;-0.067794;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.651855;0.947754;0.754395;-58.029999;-27.58;147.279999;6.0;0.0;0.0
0.07;2.25;1.75;3.25;3.5;5.5;5.75;1.0;4.0;3.25;1.75;1.25;1.5;2.0;6.0;0.75;1.0;-0.16748;0.030762;1.003906;1.33;2.1;0.49;529.0;-0.005711;-0.069693;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.613281;0.665039;0.709473;-82.599998;-12.53;166.320007;6.0;0.0;0.0
0.08;2.25;1.75;3.0;3.5;5.5;5.75;1.0;4.25;3.5;2.0;1.5;1.25;2.0;6.25;1.0;1.25;-0.156738;0.027344;1.004395;1.26;2.24;0.42;543.0;0.003761;-0.06881;0.0;0.25;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.569336;0.526367;0.697754;-90.580002;5.39;185.289993;9.0;0.0;0.0
0.09;1.75;1.5;3.0;3.0;5.0;5.75;1.0;4.5;3.25;2.0;1.75;1.5;2.25;6.25;1.0;1.25;-0.166016;0.029297;1.000977;0.77;2.59;0.28;532.0;0.01603;-0.078003;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.514648;0.412598;0.804199;-82.459999;11.76;189.979996;3.0;0.0;0.0
