Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;474.0;3.94167;920.0;7.65833
Jumping forward;18.0;920.0;7.65833;1297.0;10.8
Walking on tiptoes;11.0;1297.0;10.8;2002.0;16.675
Lifting the bag with two hands;23.0;2002.0;16.675;2474.0;20.60833
Jumping on the left leg;16.0;2474.0;20.60833;3221.0;26.83333
Balancing on the left leg ;3.0;3221.0;26.83333;3770.0;31.40833
Leaning to the side;28.0;3770.0;31.40833;4194.0;34.94167
Walking backwards;10.0;4194.0;34.94167;4907.0;40.88333
Climbing the stairs;21.0;4907.0;40.88333;5440.0;45.325
Standing upright without moving;2.0;5440.0;45.325;5929.0;49.4
Jumping backward;19.0;5929.0;49.4;6488.0;54.05833
Putting right hand on the ground;31.0;6488.0;54.05833;6989.0;58.23333
Hopping around on one leg;12.0;6989.0;58.23333;7591.0;63.25
Pushing the bag;25.0;7591.0;63.25;8015.0;66.78333
Balancing on the right leg ;4.0;8015.0;66.78333;8768.0;73.05833
Jumping in place;14.0;8768.0;73.05833;9123.0;76.01667
Looking backward;29.0;9123.0;76.01667;9672.0;80.59167
Jogging;9.0;9672.0;80.59167;10302.0;85.84167
Lifting the bag with one hand;22.0;10302.0;85.84167;10751.0;89.58333
Standing on heels;7.0;10751.0;89.58333;11530.0;96.075
Jumping to the side;17.0;11530.0;96.075;11894.0;99.10833
Leaning forward;26.0;11894.0;99.10833;12492.0;104.09167
Side-stepping;13.0;12492.0;104.09167;13089.0;109.06667
Sitting on the stool;20.0;13089.0;109.06667;13945.0;116.2
Doing squats;5.0;13945.0;116.2;14280.0;118.99167
Jumping on the right leg;15.0;14280.0;118.99167;14796.0;123.29167
Putting left hand on the ground;30.0;14796.0;123.29167;15309.0;127.56667
Walking;8.0;15309.0;127.56667;15891.0;132.41667
Pulling the bag;24.0;15891.0;132.41667;16387.0;136.55
Standing on tiptoes;6.0;16387.0;136.55;16997.0;141.63333
Leaning backward;27.0;16997.0;141.63333;17508.0;145.89167
Standing in T-pose;1.0;17508.0;145.89167;17711.0;147.5833
