Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;108.0;0.89167;987.0;8.21667
Looking backward;29.0;987.0;8.21667;1483.0;12.35
Jogging;9.0;1483.0;12.35;2121.0;17.66667
Pulling the bag;24.0;2121.0;17.66667;2445.0;20.36667
Standing upright without moving;2.0;2445.0;20.36667;2961.0;24.66667
Jumping backward;19.0;2961.0;24.66667;3716.0;30.95833
Putting right hand on the ground;31.0;3716.0;30.95833;4238.0;35.30833
Walking;8.0;4238.0;35.30833;4905.0;40.86667
Lifting the bag with one hand;22.0;4905.0;40.86667;5470.0;45.575
Balancing on the right leg ;4.0;5470.0;45.575;6052.0;50.425
Jumping in place;14.0;6052.0;50.425;6411.0;53.41667
Jumping to the side;17.0;6411.0;53.41667;6977.0;58.13333
Walking on tiptoes;11.0;6977.0;58.13333;7780.0;64.825
Climbing the stairs;21.0;7780.0;64.825;8257.0;68.8
Standing on tiptoes;6.0;8257.0;68.8;8829.0;73.56667
Balancing on the left leg ;3.0;8829.0;73.56667;9290.0;77.40833
Leaning backward;27.0;9290.0;77.40833;9812.0;81.75833
Walking backwards;10.0;9812.0;81.75833;10639.0;88.65
Lifting the bag with two hands;23.0;10639.0;88.65;11197.0;93.3
Standing on heels;7.0;11197.0;93.3;11583.0;96.51667
Jumping to the side;17.0;11583.0;96.51667;11947.0;99.55
Putting left hand on the ground;30.0;11947.0;99.55;12451.0;103.75
Hopping around on one leg;12.0;12451.0;103.75;13312.0;110.925
Sitting on the stool;20.0;13312.0;110.925;13958.0;116.30833
Doing squats;5.0;13958.0;116.30833;14432.0;120.25833
Jumping forward;18.0;14432.0;120.25833;14718.0;122.64167
Leaning forward;26.0;14718.0;122.64167;15319.0;127.65
Side-stepping;13.0;15319.0;127.65;15977.0;133.13333
Pushing the bag;25.0;15977.0;133.13333;16314.0;135.94167
Jumping on the left leg;16.0;16314.0;135.94167;17004.0;141.69167
Jumping on the right leg;15.0;17004.0;141.69167;17448.0;145.39167
Standing in T-pose;1.0;17448.0;145.39167;17770.0;148.07653
