Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;588.0;4.89167;996.0;8.29167
Looking backward;29.0;996.0;8.29167;1468.0;12.225
Jogging;9.0;1468.0;12.225;2130.0;17.74167
Pulling the bag;24.0;2130.0;17.74167;2805.0;23.36667
Doing squats;5.0;2805.0;23.36667;3254.0;27.10833
Jumping forward;18.0;3254.0;27.10833;3564.0;29.69167
Leaning forward;26.0;3564.0;29.69167;4264.0;35.525
Walking on tiptoes;11.0;4264.0;35.525;5002.0;41.675
Lifting the bag with one hand;22.0;5002.0;41.675;5685.0;47.36667
Balancing on the left leg ;3.0;5685.0;47.36667;6052.0;50.425
Jumping to the side;17.0;6052.0;50.425;6342.0;52.84167
Leaning to the side;28.0;6342.0;52.84167;6960.0;57.99167
Side-stepping;13.0;6960.0;57.99167;7804.0;65.025
Climbing the stairs;21.0;7804.0;65.025;8297.0;69.13333
Standing on heels;7.0;8297.0;69.13333;8767.0;73.05
Jumping in place;14.0;8767.0;73.05;9252.0;77.09167
Putting right hand on the ground;31.0;9252.0;77.09167;9911.0;82.58333
Walking backwards;10.0;9911.0;82.58333;10701.0;89.16667
Lifting the bag with two hands;23.0;10701.0;89.16667;11666.0;97.20833
Jumping backward;19.0;11666.0;97.20833;11884.0;99.025
Leaning backward;27.0;11884.0;99.025;12550.0;104.575
Walking;8.0;12550.0;104.575;13322.0;111.00833
Pushing the bag;25.0;13322.0;111.00833;14031.0;116.91667
Balancing on the right leg ;4.0;14031.0;116.91667;14512.0;120.925
Jumping on the left leg;16.0;14512.0;120.925;14885.0;124.03333
Putting left hand on the ground;30.0;14885.0;124.03333;15383.0;128.18333
Hopping around on one leg;12.0;15383.0;128.18333;16083.0;134.01667
Sitting on the stool;20.0;16083.0;134.01667;16786.0;139.875
Standing on tiptoes;6.0;16786.0;139.875;17167.0;143.05
Jumping on the right leg;15.0;17167.0;143.05;17615.0;146.78333
Standing in T-pose;1.0;17615.0;146.78333;17753.0;147.93038
