Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;621.0;5.16667;1063.0;8.85
Jumping to the side;17.0;1063.0;8.85;1306.0;10.875
Walking backwards;10.0;1306.0;10.875;2281.0;19.0
Pulling the bag;24.0;2281.0;19.0;2914.0;24.275
Jumping on the left leg;16.0;2914.0;24.275;3264.0;27.19167
Jumping forward;18.0;3264.0;27.19167;3616.0;30.125
Putting right hand on the ground;31.0;3616.0;30.125;4366.0;36.375
Hopping around on one leg;12.0;4366.0;36.375;5212.0;43.425
Pushing the bag;25.0;5212.0;43.425;5680.0;47.325
Standing on tiptoes;6.0;5680.0;47.325;6037.0;50.3
Balancing on the left leg ;3.0;6037.0;50.3;6589.0;54.9
Leaning backward;27.0;6589.0;54.9;7129.0;59.4
Walking on tiptoes;11.0;7129.0;59.4;7784.0;64.85833
Lifting the bag with one hand;22.0;7784.0;64.85833;8520.0;70.99167
Standing upright without moving;2.0;8520.0;70.99167;8908.0;74.225
Jumping on the right leg;15.0;8908.0;74.225;9346.0;77.875
Leaning forward;26.0;9346.0;77.875;9910.0;82.575
Side-stepping;13.0;9910.0;82.575;10646.0;88.70833
Lifting the bag with two hands;23.0;10646.0;88.70833;11232.0;93.59167
Doing squats;5.0;11232.0;93.59167;11558.0;96.30833
Jumping in place;14.0;11558.0;96.30833;12022.0;100.175
Looking backward;29.0;12022.0;100.175;12481.0;104.0
Walking;8.0;12481.0;104.0;13206.0;110.04167
Climbing the stairs;21.0;13206.0;110.04167;13612.0;113.425
Balancing on the right leg ;4.0;13612.0;113.425;14372.0;119.75833
Jumping backward;19.0;14372.0;119.75833;14641.0;122.0
Leaning to the side;28.0;14641.0;122.0;15363.0;128.01667
Jogging;9.0;15363.0;128.01667;16024.0;133.525
Sitting on the stool;20.0;16024.0;133.525;16805.0;140.03333
Standing on heels;7.0;16805.0;140.03333;17243.0;143.68333
Putting left hand on the ground;30.0;17243.0;143.68333;17714.0;147.60833
Standing in T-pose;1.0;17714.0;147.60833;17872.0;148.92463
