Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;497.0;4.13333;982.0;8.175
Jumping on the left leg;16.0;982.0;8.175;1317.0;10.96667
Side-stepping;13.0;1317.0;10.96667;2082.0;17.34167
Lifting the bag with one hand;22.0;2082.0;17.34167;2526.0;21.04167
Balancing on the right leg ;4.0;2526.0;21.04167;3229.0;26.9
Balancing on the left leg ;3.0;3229.0;26.9;3673.0;30.6
Putting right hand on the ground;31.0;3673.0;30.6;4093.0;34.1
Walking on tiptoes;11.0;4093.0;34.1;4935.0;41.11667
Pushing the bag;25.0;4935.0;41.11667;5293.0;44.1
Standing on heels;7.0;5293.0;44.1;5964.0;49.69167
Jumping to the side;17.0;5964.0;49.69167;6350.0;52.90833
Leaning forward;26.0;6350.0;52.90833;6876.0;57.29167
Jogging;9.0;6876.0;57.29167;7642.0;63.675
Climbing the stairs;21.0;7642.0;63.675;8256.0;68.79167
Doing squats;5.0;8256.0;68.79167;8720.0;72.65833
Jumping in place;14.0;8720.0;72.65833;9087.0;75.71667
Leaning backward;27.0;9087.0;75.71667;9644.0;80.35833
Walking backwards;10.0;9644.0;80.35833;10525.0;87.7
Pulling the bag;24.0;10525.0;87.7;10906.0;90.875
Standing upright without moving;2.0;10906.0;90.875;11351.0;94.58333
Jumping forward;18.0;11351.0;94.58333;11866.0;98.875
Putting left hand on the ground;30.0;11866.0;98.875;12423.0;103.51667
Hopping around on one leg;12.0;12423.0;103.51667;13304.0;110.85833
Lifting the bag with two hands;23.0;13304.0;110.85833;13832.0;115.25833
Standing on tiptoes;6.0;13832.0;115.25833;14219.0;118.48333
Jumping on the right leg;15.0;14219.0;118.48333;14635.0;121.95
Leaning to the side;28.0;14635.0;121.95;15140.0;126.15833
Walking;8.0;15140.0;126.15833;16141.0;134.5
Sitting on the stool;20.0;16141.0;134.5;16489.0;137.4
Jumping backward;19.0;16489.0;137.4;16925.0;141.03333
Looking backward;29.0;16925.0;141.03333;17402.0;145.00833
Standing in T-pose;1.0;17402.0;145.00833;17706.0;147.54071
