Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;451.0;3.75;913.0;7.6
Jumping backward;19.0;913.0;7.6;1240.0;10.325
Side-stepping;13.0;1240.0;10.325;2025.0;16.86667
Pulling the bag;24.0;2025.0;16.86667;2604.0;21.69167
Doing squats;5.0;2604.0;21.69167;3130.0;26.075
Balancing on the left leg ;3.0;3130.0;26.075;3684.0;30.69167
Putting right hand on the ground;31.0;3684.0;30.69167;4174.0;34.775
Jogging;9.0;4174.0;34.775;4894.0;40.775
Pushing the bag;25.0;4894.0;40.775;5535.0;46.11667
Balancing on the right leg ;4.0;5535.0;46.11667;5993.0;49.93333
Jumping forward;18.0;5993.0;49.93333;6367.0;53.05
Leaning backward;27.0;6367.0;53.05;6890.0;57.40833
Hopping around on one leg;12.0;6890.0;57.40833;7567.0;63.05
Sitting on the stool;20.0;7567.0;63.05;8323.0;69.35
Jumping on the left leg;16.0;8323.0;69.35;8697.0;72.46667
Jumping on the right leg;15.0;8697.0;72.46667;9066.0;75.54167
Leaning forward;26.0;9066.0;75.54167;9589.0;79.9
Walking;8.0;9589.0;79.9;10241.0;85.33333
Climbing the stairs;21.0;10241.0;85.33333;10839.0;90.31667
Standing upright without moving;2.0;10839.0;90.31667;11462.0;95.50833
Jumping in place;14.0;11462.0;95.50833;11842.0;98.675
Putting left hand on the ground;30.0;11842.0;98.675;12394.0;103.275
Walking backwards;10.0;12394.0;103.275;13256.0;110.45833
Lifting the bag with one hand;22.0;13256.0;110.45833;13928.0;116.05833
Standing on tiptoes;6.0;13928.0;116.05833;14281.0;119.0
Jumping to the side;17.0;14281.0;119.0;14657.0;122.13333
Leaning to the side;28.0;14657.0;122.13333;15281.0;127.33333
Walking on tiptoes;11.0;15281.0;127.33333;15942.0;132.84167
Lifting the bag with two hands;23.0;15942.0;132.84167;16577.0;138.13333
Standing on heels;7.0;16577.0;138.13333;16974.0;141.44167
Looking backward;29.0;16974.0;141.44167;17568.0;146.39167
Standing in T-pose;1.0;17568.0;146.39167;17819.0;148.48037
