Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;260.0;2.15833;793.0;6.6
Looking backward;29.0;793.0;6.6;1231.0;10.25
Jogging;9.0;1231.0;10.25;1835.0;15.28333
Lifting the bag with one hand;22.0;1835.0;15.28333;2313.0;19.26667
Standing on tiptoes;6.0;2313.0;19.26667;3004.0;25.025
Jumping forward;18.0;3004.0;25.025;3404.0;28.35833
Putting right hand on the ground;31.0;3404.0;28.35833;4051.0;33.75
Walking;8.0;4051.0;33.75;4771.0;39.75
Sitting on the stool;20.0;4771.0;39.75;5190.0;43.24167
Standing on heels;7.0;5190.0;43.24167;5804.0;48.35833
Jumping in place;14.0;5804.0;48.35833;6183.0;51.51667
Leaning forward;26.0;6183.0;51.51667;6713.0;55.93333
Walking backwards;10.0;6713.0;55.93333;7482.0;62.34167
Pulling the bag;24.0;7482.0;62.34167;8053.0;67.1
Doing squats;5.0;8053.0;67.1;8403.0;70.01667
Jumping to the side;17.0;8403.0;70.01667;8932.0;74.425
Leaning to the side;28.0;8932.0;74.425;9566.0;79.70833
Hopping around on one leg;12.0;9566.0;79.70833;10087.0;84.05
Pushing the bag;25.0;10087.0;84.05;10538.0;87.80833
Balancing on the right leg ;4.0;10538.0;87.80833;11365.0;94.7
Jumping backward;19.0;11365.0;94.7;11717.0;97.63333
Leaning backward;27.0;11717.0;97.63333;12291.0;102.41667
Walking on tiptoes;11.0;12291.0;102.41667;12929.0;107.73333
Climbing the stairs;21.0;12929.0;107.73333;13327.0;111.05
Standing upright without moving;2.0;13327.0;111.05;14097.0;117.46667
Jumping on the right leg;15.0;14097.0;117.46667;14607.0;121.71667
Putting left hand on the ground;30.0;14607.0;121.71667;15157.0;126.3
Side-stepping;13.0;15157.0;126.3;15715.0;130.95
Lifting the bag with two hands;23.0;15715.0;130.95;16191.0;134.91667
Jumping on the left leg;16.0;16191.0;134.91667;16872.0;140.59167
Balancing on the left leg ;3.0;16872.0;140.59167;17318.0;144.30833
Standing in T-pose;1.0;17318.0;144.30833;17636.0;146.96054
