Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;556.0;4.625;1198.0;9.975
Balancing on the right leg ;4.0;1198.0;9.975;1594.0;13.275
Side-stepping;13.0;1594.0;13.275;2026.0;16.875
Pulling the bag;24.0;2026.0;16.875;2792.0;23.25833
Standing upright without moving;2.0;2792.0;23.25833;3263.0;27.18333
Jumping to the side;17.0;3263.0;27.18333;3602.0;30.00833
Putting left hand on the ground;30.0;3602.0;30.00833;4196.0;34.95833
Jogging;9.0;4196.0;34.95833;4856.0;40.45833
Lifting the bag with two hands;23.0;4856.0;40.45833;5331.0;44.41667
Balancing on the left leg ;3.0;5331.0;44.41667;5999.0;49.98333
Jumping on the left leg;16.0;5999.0;49.98333;6492.0;54.09167
Leaning to the side;28.0;6492.0;54.09167;6935.0;57.78333
Walking backwards;10.0;6935.0;57.78333;7598.0;63.30833
Sitting on the stool;20.0;7598.0;63.30833;8427.0;70.21667
Doing squats;5.0;8427.0;70.21667;8797.0;73.3
Jumping on the right leg;15.0;8797.0;73.3;9243.0;77.01667
Looking backward;29.0;9243.0;77.01667;9502.0;79.175
Walking on tiptoes;11.0;9502.0;79.175;10408.0;86.725
Pushing the bag;25.0;10408.0;86.725;10779.0;89.81667
Standing on heels;7.0;10779.0;89.81667;11564.0;96.35833
Jumping in place;14.0;11564.0;96.35833;11945.0;99.53333
Leaning backward;27.0;11945.0;99.53333;12521.0;104.33333
Walking;8.0;12521.0;104.33333;13185.0;109.86667
Climbing the stairs;21.0;13185.0;109.86667;13561.0;113.0
Standing on tiptoes;6.0;13561.0;113.0;14342.0;119.50833
Jumping backward;19.0;14342.0;119.50833;14616.0;121.79167
Leaning forward;26.0;14616.0;121.79167;15218.0;126.80833
Walking;8.0;15218.0;126.80833;15915.0;132.61667
Lifting the bag with one hand;22.0;15915.0;132.61667;16449.0;137.06667
Jumping forward;18.0;16449.0;137.06667;16924.0;141.025
Putting right hand on the ground;31.0;16924.0;141.025;17528.0;146.05833
Standing in T-pose;1.0;17528.0;146.05833;17814.0;148.44036
