Name;Class;Frame Start;Timestamp Start;Frame End;Timestamp End
Standing in T-pose;1.0;391.0;3.25;921.0;7.66667
Doing squats;5.0;921.0;7.66667;1507.0;12.55
Walking on tiptoes;11.0;1507.0;12.55;2212.0;18.425
Pulling the bag;24.0;2212.0;18.425;2873.0;23.93333
Jumping on the left leg;16.0;2873.0;23.93333;3200.0;26.65833
Jumping backward;19.0;3200.0;26.65833;3628.0;30.225
Putting right hand on the ground;31.0;3628.0;30.225;4338.0;36.14167
Walking backwards;10.0;4338.0;36.14167;4948.0;41.225
Sitting on the stool;20.0;4948.0;41.225;5666.0;47.20833
Standing on heels;7.0;5666.0;47.20833;6033.0;50.26667
Balancing on the left leg ;3.0;6033.0;50.26667;6608.0;55.05833
Looking backward;29.0;6608.0;55.05833;6904.0;57.525
Jogging;9.0;6904.0;57.525;7749.0;64.56667
Pushing the bag;25.0;7749.0;64.56667;8421.0;70.16667
Balancing on the right leg ;4.0;8421.0;70.16667;8763.0;73.01667
Jumping on the right leg;15.0;8763.0;73.01667;9246.0;77.04167
Leaning to the side;28.0;9246.0;77.04167;9750.0;81.24167
Side-stepping;13.0;9750.0;81.24167;10453.0;87.1
Lifting the bag with one hand;22.0;10453.0;87.1;11204.0;93.35833
Standing on tiptoes;6.0;11204.0;93.35833;11506.0;95.875
Jumping forward;18.0;11506.0;95.875;11972.0;99.75833
Putting left hand on the ground;30.0;11972.0;99.75833;12536.0;104.45833
Walking;8.0;12536.0;104.45833;13239.0;110.31667
Lifting the bag with two hands;23.0;13239.0;110.31667;13937.0;116.13333
Standing upright without moving;2.0;13937.0;116.13333;14241.0;118.66667
Jumping in place;14.0;14241.0;118.66667;14731.0;122.75
Leaning forward;26.0;14731.0;122.75;15317.0;127.63333
Hopping around on one leg;12.0;15317.0;127.63333;15990.0;133.24167
Climbing the stairs;21.0;15990.0;133.24167;16656.0;138.79167
Jumping to the side;17.0;16656.0;138.79167;16950.0;141.24167
Leaning backward;27.0;16950.0;141.24167;17550.0;146.24167
Standing in T-pose;1.0;17550.0;146.24167;17782.0;148.17758
